Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA
2004-02-17,Hull,Liverpool,2,0,H,1,0,H,L Mason,7,22,4,5,9,12,1,15,2,1,0,0,8.0,4.75,1.45,7.68,4.59,1.49,8.0,4.5,1.44,7.15,4.43,1.53
2004-03-17,Stoke,Middlesbrough,2,0,H,2,0,H,C Pawson,13,8,8,2,16,20,6,1,1,2,0,0,1.95,3.4,4.5,2.0,3.3,4.6,1.95,3.3,4.5,2.02,3.29,4.52
2004-03-17,Liverpool,Arsenal,3,1,H,2,0,H,R Madley,18,7,7,3,8,15,9,3,1,2,0,0,2.15,3.6,3.6,2.14,3.51,3.73,2.15,3.4,3.6,2.0,3.72,3.97
2004-03-17,Man United,Bournemouth,1,1,D,1,1,D,K Friend,20,3,7,1,9,11,15,2,3,2,0,1,1.25,6.5,15.0,1.27,6.55,12.75,1.25,6.0,13.0,1.24,6.95,13.75
2004-03-17,Swansea,Burnley,3,2,H,1,1,D,A Taylor,23,6,10,4,7,13,9,2,2,2,0,0,2.0,3.5,4.2,2.05,3.35,4.27,2.0,3.4,4.0,2.01,3.39,4.38
2004-03-17,Watford,Southampton,3,4,A,1,2,A,J Moss,16,20,4,11,16,9,6,5,3,2,0,0,3.6,3.4,2.2,3.54,3.38,2.26,3.5,3.1,2.3,4.12,3.51,2.03
2004-03-17,Leicester,Hull,3,1,H,1,1,D,M Dean,17,10,5,4,12,13,10,4,1,1,0,0,1.85,3.6,4.75,1.87,3.55,4.92,1.85,3.4,4.8,1.83,3.61,5.05
2004-03-17,West Brom,Crystal Palace,0,2,A,0,0,D,M Jones,11,10,1,4,8,12,5,5,0,1,0,0,2.2,3.3,3.8,2.23,3.28,3.74,2.2,3.1,3.8,2.37,3.23,3.48
2004-04-17,Burnley,Stoke,1,0,H,0,0,D,K Friend,7,15,3,2,9,16,3,5,3,2,0,0,2.5,3.1,3.3,2.48,3.07,3.43,2.5,3.1,3.1,2.47,3.16,3.34
2004-04-17,Leicester,Sunderland,2,0,H,0,0,D,G Scott,19,15,8,3,12,13,5,6,0,1,0,0,1.45,4.5,8.5,1.48,4.61,7.92,1.44,4.33,8.5,1.51,4.5,7.48
2004-04-17,Man United,Everton,1,1,D,0,1,A,N Swarbrick,18,11,3,4,10,18,6,5,1,4,0,1,1.57,4.2,6.5,1.57,4.23,6.75,1.57,4.0,6.5,1.61,4.05,6.55
2004-04-17,Watford,West Brom,2,0,H,1,0,H,P Tierney,9,18,2,2,11,14,5,6,1,4,1,0,2.5,3.2,3.2,2.56,3.16,3.19,2.5,3.1,3.1,2.5,3.16,3.29
2004-12-16,Bournemouth,Liverpool,4,3,H,0,2,A,R Madley,12,10,8,3,9,17,4,9,2,2,0,0,5.0,4.0,1.75,4.63,4.01,1.8,4.8,3.8,1.75,5.02,4.05,1.74
2004-12-16,Everton,Man United,1,1,D,0,1,A,M Oliver,13,10,6,2,13,11,6,3,2,3,0,0,3.6,3.5,2.15,3.65,3.5,2.17,3.6,3.3,2.2,4.3,3.66,1.94
2005-02-17,Man City,Swansea,2,1,H,1,0,H,M Dean,17,4,5,2,9,13,10,3,2,3,0,0,1.22,7.0,15.0,1.23,7.55,13.6,1.22,7.0,13.0,1.22,7.8,14.5
2005-02-17,Leicester,Man United,0,3,A,0,2,A,A Taylor,11,15,1,9,12,13,10,3,2,4,0,0,5.75,4.0,1.65,5.95,3.89,1.68,5.5,3.75,1.7,5.29,3.84,1.75
2005-03-17,Tottenham,Everton,3,2,H,1,0,H,M Oliver,20,8,7,4,9,14,7,2,1,2,0,0,1.67,4.2,5.25,1.64,4.17,5.88,1.67,3.8,5.5,1.62,4.28,5.88
2005-03-17,Sunderland,Man City,0,2,A,0,1,A,M Atkinson,11,14,3,7,11,4,6,4,1,0,0,0,11.0,6.5,1.29,10.81,6.35,1.3,11.0,5.5,1.3,10.95,6.6,1.29
2005-04-17,Arsenal,West Ham,3,0,H,0,0,D,M Atkinson,21,7,8,2,11,5,5,0,2,2,0,0,1.4,5.25,8.0,1.42,5.32,7.89,1.4,5.0,8.0,1.43,5.35,7.32
2005-04-17,Chelsea,Man City,2,1,H,2,1,H,M Dean,10,17,4,7,10,14,2,9,1,3,0,0,2.4,3.5,3.1,2.41,3.56,3.08,2.4,3.3,3.1,2.22,3.39,3.63
2005-04-17,Swansea,Tottenham,1,3,A,1,0,H,J Moss,4,18,1,8,7,8,5,7,1,1,0,0,5.0,4.0,1.73,5.33,3.97,1.72,5.0,3.8,1.73,5.45,4.0,1.7
2005-04-17,Southampton,Crystal Palace,3,1,H,1,1,D,R East,25,17,9,3,16,11,11,11,2,1,0,0,1.83,3.7,4.75,1.84,3.7,4.86,1.83,3.5,4.8,1.86,3.61,4.84
2005-04-17,Hull,Middlesbrough,4,2,H,3,2,H,M Oliver,17,12,5,4,13,12,8,4,2,1,0,0,2.05,3.3,4.2,2.08,3.32,4.2,2.05,3.2,4.2,2.08,3.3,4.23
2005-04-17,Liverpool,Bournemouth,2,2,D,1,1,D,L Mason,20,7,8,2,11,8,7,2,1,1,0,0,1.36,5.25,9.5,1.4,5.31,8.45,1.36,5.0,9.0,1.44,4.85,8.4
2005-05-17,West Ham,Tottenham,1,0,H,0,0,D,A Taylor,13,11,5,5,8,9,3,7,4,2,0,0,8.5,5.25,1.4,9.4,5.35,1.37,8.0,5.0,1.4,8.4,5.24,1.41
2005-11-16,Bournemouth,Sunderland,1,2,A,1,1,D,M Dean,22,9,7,4,14,17,12,2,3,2,0,1,1.65,4.2,5.5,1.63,4.27,5.78,1.67,3.6,6.0,1.63,4.4,5.61
2005-11-16,Chelsea,Everton,5,0,H,3,0,H,R Madley,21,1,9,0,5,16,4,2,0,3,0,0,1.53,4.33,7.0,1.57,4.37,6.47,1.57,3.75,7.0,1.5,4.61,7.4
2005-11-16,Burnley,Crystal Palace,3,2,H,2,0,H,A Taylor,14,16,7,5,11,12,4,7,1,2,0,0,3.3,3.3,2.38,3.42,3.37,2.32,3.3,3.1,2.4,3.6,3.27,2.29
2005-11-16,West Ham,Stoke,1,1,D,0,0,D,A Marriner,9,12,2,4,11,10,6,4,4,1,0,0,2.0,3.6,4.0,2.0,3.59,4.13,2.05,3.3,4.0,2.01,3.53,4.17
2005-11-16,Man City,Middlesbrough,1,1,D,1,0,H,K Friend,25,5,7,3,7,15,8,2,1,3,0,0,1.22,7.0,15.0,1.23,7.16,14.22,1.22,6.5,13.0,1.22,7.55,14.75
2005-12-16,Middlesbrough,Hull,1,0,H,0,0,D,M Dean,16,6,4,2,6,11,13,7,1,1,0,0,1.83,3.5,5.25,1.8,3.57,5.4,1.83,3.4,5.0,1.92,3.38,4.93
2006-03-17,West Ham,Chelsea,1,2,A,0,1,A,A Marriner,11,9,2,4,8,8,6,4,0,1,0,0,6.0,4.1,1.62,5.75,4.3,1.63,6.0,4.0,1.62,6.15,4.25,1.61
2006-05-17,Swansea,Everton,1,0,H,1,0,H,M Atkinson,9,8,4,2,5,13,9,5,0,0,0,0,2.8,3.5,2.63,2.81,3.48,2.65,2.75,3.4,2.62,2.52,3.47,2.98
2006-05-17,Man City,Crystal Palace,5,0,H,1,0,H,M Oliver,26,5,12,2,12,8,9,3,1,3,0,0,1.29,6.5,11.0,1.3,6.6,10.25,1.25,6.0,11.0,1.26,7.0,11.5
2006-05-17,Leicester,Watford,3,0,H,1,0,H,R East,11,14,5,7,8,10,10,1,0,0,0,0,1.57,4.2,6.5,1.61,4.16,6.38,1.57,3.75,6.5,1.67,3.92,6.05
2006-05-17,Hull,Sunderland,0,2,A,0,0,D,N Swarbrick,16,12,6,5,10,8,7,4,3,1,0,0,1.44,4.75,8.0,1.49,4.7,7.29,1.44,4.33,7.5,1.56,4.57,6.28
2006-05-17,Burnley,West Brom,2,2,D,0,0,D,M Jones,14,11,4,3,9,14,5,8,1,3,0,0,2.25,3.3,3.6,2.31,3.2,3.64,2.25,3.2,3.3,2.59,3.03,3.29
2006-05-17,Bournemouth,Stoke,2,2,D,0,1,A,P Tierney,12,14,2,3,10,15,0,7,2,0,0,0,2.25,3.6,3.3,2.24,3.5,3.47,2.25,3.2,3.3,2.36,3.47,3.24
