Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA,GoalDiff_HT,GoalDiff_FT,TotalHomeShots,TotalAwayShots,HomeTeam_ID,AwayTeam_ID
2015,Crystal Palace,West Brom,2,0,H,0,0,D,J Moss,21,7,8,2,14,13,8,3,3,3,0,0,1.83,3.6,5.0,1.84,3.65,4.93,1.85,3.1,5.0,1.83,3.64,5.0,0,2,29,9,17,9
2015,Man City,Newcastle,6,1,H,1,1,D,K Friend,23,6,11,4,13,8,6,3,3,1,0,0,1.25,7.0,13.0,1.24,6.9,13.8,1.25,6.0,13.0,1.22,7.3,14.85,0,5,34,10,18,7
2015,Norwich,Leicester,1,2,A,0,1,A,M Clattenburg,17,16,2,5,4,4,16,8,0,1,0,0,2.3,3.5,3.3,2.26,3.63,3.31,2.25,3.4,3.1,2.33,3.44,3.34,-1,-1,19,21,5,3
2015,Sunderland,West Ham,2,2,D,2,1,H,N Swarbrick,12,20,3,6,14,11,1,8,2,4,1,0,3.2,3.4,2.4,3.13,3.46,2.43,2.9,3.4,2.38,3.03,3.55,2.45,1,0,15,26,12,16
2015,Arsenal,Man United,3,0,H,3,0,H,A Taylor,12,9,5,5,8,17,3,6,1,3,0,0,2.0,3.8,3.8,2.06,3.67,3.81,1.95,3.6,3.75,2.01,3.81,3.84,3,3,17,14,6,4
2015,Everton,Liverpool,1,1,D,1,1,D,M Atkinson,14,13,4,4,10,19,5,11,3,3,0,0,2.7,3.4,2.8,2.75,3.42,2.75,2.75,2.8,2.9,3.16,3.44,2.42,0,0,18,17,2,19
2015,Swansea,Tottenham,2,2,D,2,1,H,M Dean,11,19,2,11,8,19,5,6,1,4,0,0,2.75,3.25,2.8,2.72,3.33,2.84,2.62,3.25,2.7,2.68,3.46,2.79,1,0,13,30,13,14
2015,Chelsea,Aston Villa,2,0,H,1,0,H,R East,9,8,3,1,22,17,4,4,1,3,0,0,1.33,5.75,10.0,1.34,5.41,11.0,1.36,4.8,8.5,1.33,5.83,10.2,1,2,12,9,1,10
2015,Crystal Palace,West Ham,1,3,A,1,1,D,M Clattenburg,6,24,1,4,9,11,1,9,1,3,1,0,2.0,3.6,4.0,2.01,3.67,3.99,2.05,3.3,3.75,1.96,3.77,4.08,0,-2,7,28,17,16
2015,Everton,Man United,0,3,A,0,2,A,J Moss,12,10,3,7,12,14,5,3,2,2,0,0,3.25,3.4,2.38,3.23,3.4,2.4,3.2,3.0,2.4,3.29,3.48,2.33,-2,-3,15,17,2,4
